Name,IncludedIPs,ExcludedIPs,IncludedGroups,Comment
lab25-ag-base-v4,198.18.1.0/24,,,single IPv4 network
lab25-ag-multi-v4,"198.18.2.0/24,198.18.3.10/32",,,multiple IPv4 members
lab25-ag-exclude-v4,198.18.4.0/24,198.18.4.128/25,,IPv4 exclusion
lab25-ag-ipv6,"2001:db8:25::/64,2001:db8:25::10/128",,,IPv6 members
lab25-ag-hosts,"198.18.5.1/32,198.18.5.2/32,198.18.5.3/32",,,host members
lab25-ag-child-one,198.18.6.0/24,,lab25-ag-base-v4,one nested group
lab25-ag-child-two,198.18.7.0/24,,lab25-ag-multi-v4,second nested group
lab25-ag-depth-two,198.18.8.0/24,,lab25-ag-child-one,maximum nesting depth two
lab25-ag-two-groups,,,"lab25-ag-base-v4,lab25-ag-multi-v4",two included groups
lab25-ag-multi-rule,198.18.9.0/24,,,multi-rule first
lab25-ag-multi-rule,198.18.10.0/24,,,multi-rule second
lab25-ag-comment,198.18.11.0/24,,,"comment with comma, quoted by CSV"
lab25-ag-two-exclusions,198.18.12.0/24,"198.18.12.10/32,198.18.12.20/32",,two exclusions
lab25-ag-mixed-host-net,"198.18.13.0/24,198.18.14.14/32",,,network and host
lab25-ag-ipv6-child,,,lab25-ag-ipv6,nested IPv6 group
lab25-ag-nested-pair,,,"lab25-ag-child-one,lab25-ag-child-two",two child groups
lab25-ag-exact-exclude,"198.18.15.1/32,198.18.15.2/32",198.18.15.2/32,,exact host exclusion
lab25-ag.dot-17,198.18.16.0/24,,,dot and hyphen name
lab25-ag_underscore_18,198.18.17.0/24,,,underscore name
lab25-ag-long-name-19,198.18.18.0/24,,,long valid name
lab25-ag-final-20,198.18.19.0/24,,,final valid group
lab25-bad-ag-ip,999.1.1.1/24,,,INVALID bad IP
lab25-bad-ag-missing,,,lab25-no-such-group,INVALID missing nested group
lab25-bad-ag-self,,,lab25-bad-ag-self,INVALID self cycle
lab25-bad-ag-cycle-a,,,lab25-bad-ag-cycle-b,INVALID cycle A
lab25-bad-ag-cycle-b,,,lab25-bad-ag-cycle-a,INVALID cycle B
