rule_key,rule_name,description,enabled,priority,source_segment,destination_segment,source_zone,destination_zone,source_address,source_address_group,destination_address,destination_address_group,either_address,either_address_group,application,application_group,protocol,source_port,destination_port,either_port,source_service_group,destination_service_group,either_service_group,action,logging,logging_level,broad_match_ack
lab25-fw-101,LAB25 rule 101,INVALID missing application,FALSE,35000,Default,Default,H_INSIDE,H_OUTSIDE,,,,,,,lab25-no-such-app,,,,,,,,,deny,FALSE,,FALSE
lab25-fw-102,LAB25 rule 102,INVALID missing application group,FALSE,35010,Default,Default,H_INSIDE,H_OUTSIDE,,,,,,,,lab25-no-such-app-group,,,,,,,,inspect,TRUE,6,FALSE
lab25-fw-103,LAB25 rule 103,INVALID missing address group,FALSE,35020,Default,Default,H_INSIDE,H_OUTSIDE,,lab25-no-such-address,,,,,,,,,,,,,,allow,FALSE,,FALSE
lab25-fw-104,LAB25 rule 104,INVALID missing service group,FALSE,35030,Default,Default,H_INSIDE,H_OUTSIDE,,,,,,,,,tcp,,,,,lab25-no-such-service,,deny,FALSE,,FALSE
lab25-fw-105,LAB25 rule 105,INVALID action,TRUE,35040,Default,Default,H_INSIDE,H_OUTSIDE,198.18.1.1/32,,,,,,,,,,,,,,,drop,TRUE,1,FALSE
lab25-fw-106,LAB25 rule 106,INVALID CIDR,FALSE,35050,Default,Default,H_INSIDE,H_OUTSIDE,999.1.1.1/24,,,,,,,,,,,,,,,allow,FALSE,,FALSE
lab25-fw-107,LAB25 rule 107,INVALID port without protocol,FALSE,35060,Default,Default,H_INSIDE,H_OUTSIDE,,,,,,,,,,,443,,,,,deny,FALSE,,FALSE
lab25-fw-108,LAB25 rule 108,INVALID directional and either address,FALSE,35070,Default,Default,H_INSIDE,H_OUTSIDE,198.18.1.1/32,,,,198.18.1.2/32,,,,,,,,,,,inspect,TRUE,4,FALSE
lab25-fw-109,LAB25 rule 109,INVALID logging level,FALSE,35080,Default,Default,H_INSIDE,H_OUTSIDE,,,,,,,,,tcp,,443,,,,,allow,TRUE,8,FALSE
lab25-fw-110,LAB25 rule 110,INVALID duplicate priority first row,TRUE,35090,Default,Default,H_INSIDE,H_OUTSIDE,198.18.10.1/32,,,,,,,,,,,,,,,deny,FALSE,,FALSE
lab25-fw-111,LAB25 rule 111,INVALID duplicate priority second row,FALSE,35090,Default,Default,H_INSIDE,H_OUTSIDE,198.18.11.1/32,,,,,,,,,,,,,,,inspect,TRUE,7,FALSE
lab25-fw-112,LAB25 rule 112,INVALID expected collision with existing lab priority,FALSE,20010,Default,Default,H_INSIDE,H_OUTSIDE,198.18.12.1/32,,,,,,,,,,,,,,,allow,FALSE,,FALSE
